,user_id,data,label
0,1649,"- We need faster internet service.
- Emphasize that ALL immigrants should learn and speak ENGLLISH.
- Provide accessible transportation for seniors that have difficulty driving
- Insist that schools at all levels have daily physical activity  for all students to help combat the childhood obesity crisis.
- Provide regular and affordable daily transport to Nashville Airport from Bowling Green.
- Raise drivers license from 16 to 18 and IMPROVE DRIVERS ED CLASSES in High schools  Believe me they are pitiful.",internet__migration_concerns__transport_elderly
1,1654,- A round about would be the best solution to improve traffic flow on Fairview Ave at Keriakes Park.,traffic
2,1534,"- Support non-public (or public charter) school choice options, and make choice viable for families of ALL income levels.",school_options/access
3,188,- Parents should be able to send their kids to the school district of their choice no matter where they live in Bowling Green/Warren County.,school_options/access
4,1542,"- Traffic flow on Cavemill Rd during peek hours (3pm - 5pm)
- The traffic intersection at Scottsville Rd and Pascoe Blvd needs some immediate attention as far as congestion.  It's very unsafe.",traffic
5,1516,"- Pass a No animals on chains in the county.
- Pass a no animals in a hot car ordinance.
- Allow parents that take their kids out of public schools to use that money in a private school.
- Pass an ordinance that requires pet owners to pay a fee if their pets are not fixed.
- Build a homeless park w/tiny homes so they can live & not suffer. There should also be a main house to can receive/organize donations
- A fine if your cat or dog is picked up as a stray and is not spayed or neutered in the county.",pet_laws__school_options/access
6,1505,"- BGMU needs to be held accountable for their rates and ""averages.""
- There needs to be a stoplight at the intersection of Shive Lane and Ken Bale Blvd to improve traffic flow. The backups there are awful.",traffic
7,1432,"- How is it that surrounding counties have county wide high speed internet, yet one third of Warren County residents have slow or no internet?",internet
8,1314,- We need more pet stores,pet_ammenities
9,301,"- There is too much bullying in our schools that administrators are ignoring.
- The Bowling Green Daily News is too politically slanted.
- Traffic improvement on the so-called Bypass.  Most cities actually have a bypass.  Bowling Green doesn't have one.",traffic
10,1158,"- A traffic light is needed on Cave Mill in front of Natcher School.  Operational on school days, 7:30 to 9 AM & 3 to 4:30 PM.
- Need a traffic signal on Cave Mill in front of Natcher School, operating 8-9 AM, 3:30-4:30.",traffic
11,1200,- Bowling Green needs more pet-friendly housing options for renters.,pet_ammenities
12,1132,- The city & county school districts need to be re-evaluated The yards/houses that touch Potter Grays playground r all County school districts,school_options/access
13,1123,"- animal cruelty laws need to exist and be enforced
- fines for leaving dog feces in public areas needs to be enforced
- there should be a tenant/landlord grievance department with legal assistance
- Wal-Mart and Kroger grocery pick-up should have to accept EBT for the elderly and disabled
- we need transit buses for elderly and disabled in the county and they should be easy to enter and exit/wheelchair accessible
- apartment complexes should be required to participate in recycling program
- the Bark Park needs more trees and water access for the smaller dogs area",pet_laws__transport_elderly
14,1068,"- Parking  on both sides of the streets  in apartment subdivisions should  should not be allowed  and police need to enforce the law.
- Parking in apartment subdivisions  should monitored closely by police. Parking on subdivision streets shouldn't be allowed.",enforce_traffic_rules
15,1047,- Increase Internet/Cell/Phone service throughout the county.  First deal with areas that currently don't have any option.,internet
16,1010,"- Don't waste $800,000 of tax dollars for a fountain in Lamkin park. Residents would be better served with educational programs for the youth!
- Reduce and/or get rid of the city wage tax.
- Build more roads!!! Traffic is terrible here for a small city.",traffic
17,1001,"- Overdevelopment of rental property is detrimental to cities.  Renters do not pay property tax.  Schools suffer when the tax base is eroded.
- We need a fiber option for internet.",internet
18,646,"- I see a lot of folks with expired tags on cars, both in state and out of state. Police need to enforce the laws and write more tickets.
- install traffic cameras and enforce running of stop lights. more traffic enforcement means more $$$ for the city.
- Police do a shameful job of enforcing traffic laws. more tickets = more compliance and more $$$$$.
- Either do the speed limit or get over to the right, to many SLOW, out of county drivers clogging up the roadways.
- people need to understand that a STOP sign means STOP, not just slow down and keep going.",enforce_traffic_rules
19,277,"- Plan for people, not cars. Walking should be enjoyable, not a hazard.
- When you prioritize the safety of people over automobile speed, all kinds of positive things happen. #slowthecars
- Why has the Police stop enforcing parking regulations? Park any way any direction. Is it time for a separate Traffic Enforcement Division?
- Residential Parking Permits for areas near WKU. We can rescue our yards from parking. We pay property taxes for the students' convenience,",enforce_traffic_rules
20,842,"- Need new schools in Warren County to keep up with population growth, CTE is falling down, Drakes and Greenwood high are way overcrowded",school_options/access
21,820,"- BGMU needs to offer residential fiber internet as a UTILITY, using Chattanooga as a perfect example.",internet
22,746,"- BG needs to install traffic cameras that help police intersections like Gallatin, TN.  This would reduce accidents, traffic flow and add $
- Allow residence of an area to vote on new developments that might have impact on them opposed to commissioners/magistrates getting kickbacks",enforce_traffic_rules
