,user_id,data,label,drug_name,condition,useful_count,word_count
0,user15072,"""This completely broke me out in fluid filled hives all over my heck, chest, shoulders, back, etc. I assume I am allergic to one of the hormones in it. As soon as I stopped taking it, the acne and hives went away. As for a time frame, I took it for 3 days when the acne started. Stopped after a month. Took another month for the acne to completely go away. This could just be me, because I tried the IUD next and was the 1% of women that it didn&#039;t work for - my body expelled it and wouldn&#039;t allow it to stay in place. However, I would not recommend this pill to a friend.""",1,Ethinyl estradiol / norethindrone,Birth Control,2,116
1,user15118,"""My daughter began using this drug in December of 2013. On January 25, 2014, she died from a blood clot to her lung. She was not overweight, did not smoke, or had any conditions that were supposed to have negative implications re: use of this drug. However, in the prescribing doctors notes the Dr. advised her not to take this drug. This information was never told to my wife by my daughter, and, therefore, in my opinion, was a lie. This drug, I believe, killed my daughter. My daughter died 10 days before her 21st birthday.""",1,Ethinyl estradiol / norethindrone,Birth Control,7,96
2,user15728,"""Awful, swore I was on this before and was miserable but gave it a chance because I switched doctors and we didn&#039;t have old records but I had the horrible flash backs instantly as soon as I switched to this Birthcontrol. I had the following symptoms:   Lowered sex drive; my boyfriend even noticed, it became embarassing.    Breaking out   Weight gain   Intense headaches   Nausea all the time; felt like I was car sick 24/7   Severe cramping; never wanted to crawl in bed and cry so much as I had with this med.    Heavy periods   Interrupted sleep   Tender boobs      Ughh needless to say this has been a nightmare do not do this to yourself.""",1,Ethinyl estradiol / norethindrone,Birth Control,9,112
3,user14718,"""This birth control has made my life a living hell and I am hysterically crying as I write this. I had clear skin before this pill and now I don&rsquo;t even want to leave the house my acne is so bad. My period lasts a month when it used to be bad at 8 days. My cramps have been even worse to the point where I have to scream into my pillow. I gave it some time but it&rsquo;s tearing down my mental sanity too quickly so I cannot stay on it any longer.""",1,Ethinyl estradiol / norethindrone,Birth Control,1,94
4,user72801,"""This is the absolute worst medication I have ever been on. I had severe anxiety, hot flashes, stomach pain, no appetite, sudden loss of positive body image, it caused me to have horrible cystic acne. I have so far cried every day that I have been on this medication (2 months).     Before this drug I had a very positive body image, I had not needed my anxiety medication in 4 months, and had nearly perfect skin. This medications was horrible. I would not recommend this medication to anyone.""",1,Ethinyl estradiol / norethindrone,Birth Control,8,88
5,user16624,"""If I could give this birth control a 0 I would. I have been taking it for about 5 months and I&#039;ve been on my period probably half of those 5 months. Please tell me what is the point in even being on birth control if you are bleeding all the time. No one wants to have sex when your bleeding ever single day. Also this month I havnt gotten a period, thanks birth control. Also, I&#039;ve been so bloated all the time &amp; get sick if I don&#039;t take my pill with food.""",1,Ethinyl estradiol / norethindrone,Birth Control,4,94
6,user16022,"""I started taking this pill 3 weeks ago when i started my period. After starting it my period disappeared. Well 1.5 weeks later my period returned severely. I had severe cramps unlike anything i have ever had (and im 26). I called my doctor she said it was normal to be like this for the first 3 months on the pill. I have now been bleeding for 12 days and the severe cramps continued up until i went off the pill myself. Besides the cramps i was extremely moody and depressed. Be careful on this pill.""",1,Ethinyl estradiol / norethindrone,Birth Control,1,96
7,user16271,"""This medicine is horrible for me. The first time I took it, I felt it 20 minutes after. I had random spot pains all over my body, insomnia, throwing up, dizziness, my limbs went numb, and my already diagnosed anxiety and depression got 10x worse. I could not rest, it felt like my body was going 100 mph. I had horrible mood swings and it affected my relationship even though he understood. I felt very angry and hostile I cried over almost anything with terrible migraines and canker sores. I also got blood clots. I am 95 pounds. I would not recommend this to anyone.""",1,Ethinyl estradiol / norethindrone,Birth Control,6,105
8,user72690,"""I have been on different birth controls over the years and due to changes in my hormones I have been spotting before my period so my doctor put me on this BCP and I have getting really bad acne, mood swings, and my lips are very chapped. I&#039;ve been on it for 2 months and I&#039;m still spotting and now I have side effects! After I finish this pack I&#039;m gonna stop taking this pill. My doctor said to give it 3 months but I just can&#039;t with these side effects.""",1,Ethinyl estradiol / norethindrone,Birth Control,3,91
9,user15574,"""Do not take this stuff.    I just started this a few weeks ago to treat my PCOS and it made me extremely hungry. I also became very irritable throughout my time taking it. It got to the point where the entire day I was snapping at people and it sucked. But the worst part is THE CRAMPS. two weeks into taking the pill consistently, I got my period..? and the cramps that have come along with it are a living hell. I&#039;ve taken a heapof  ibuprofen throughout today and have laid here with a heating pad for 3 hours....they will not go away. Please save urself from freaking pain""",1,Ethinyl estradiol / norethindrone,Birth Control,5,109
10,user72790,"""I have been on various birth controls for the past 15 years and this was my worst experience. I was off bc for 3 years due to trying to conceive, pregnancy, and then nursing. I wanted to start on the pill again after my daughter weaned.    I have only taken it for one month and I can&#039;t remember any other pill having such extreme side effects. I immediately got a yeast infection, broke out worse than when I was a teenager, have been exhausted but unable to sleep at night, no sex drive, and extreme mood swings. It has been a horrible experience.""",1,Ethinyl estradiol / norethindrone,Birth Control,4,103
11,user15450,"""I took this pill for 5 months in which I gained 25lbs. I stopped taking it but continued to gain weight. I&#039;ve gained a total of 60lbs. Despite exercise and diet I&#039;ve been unable to lose any of the weight. I started the pill when I was 40, I was never in the pill before that. One doctor told me when you start BC in your 40&#039;sit can throw your hormones out of whack. It&#039;s been almost 2 years since I stopped the pill and still have not been able to lose 1lb. If this happened to you please let me know""",1,Ethinyl estradiol / norethindrone,Birth Control,4,102
12,user14770,"""My pharmacy gave me this one because they were out of stock of my usual birth control. Let me tell you it gave me the worst side effects! Side effects I have never experienced before on birth control. I had weight gain, acne, was very moody/depressed, I hated to be touched in anyway, and I also had a decrease in sex drive. It made me feel like I was turning into a different person. I recently talked to my gyno about it and she told me to stop taking it and to continue my old prescription of birth control. Something does not seem right about this birth control. I would give it 0 stars if I could.""",1,Ethinyl estradiol / norethindrone,Birth Control,1,117
13,user16388,"""I hate this BC I already suffered from depression but I feel this made me worse. I started tracking my moods and on the 3rd week of pills I get super aggressive and easily angered. Then 2-3 days before the end of the pill I get extremely anxious. Then fall into deep depression that my suicidal thoughts have gotten worse. I need to get off of these and I wonder if I can just stop taking it or if I need to wean myself off. I don&#039;t rec this pill at all""",1,Ethinyl estradiol / norethindrone,Birth Control,2,92
14,user16130,"""Horrible I started it about 3 weeks ago now and since my anxiety has been horrible I cannot enjoy my days I&#039;m constantly nauseous severe cramps and I&#039;ve started bleeding again two days ago and my pains are horrible when my bleeding started again I also had pretty bad diahrea my stomach has always been a strong one and it seems to be so far off and upset all the time now I&#039;ve got weird headaches dizziness and lower back pain this pill sucks will stop taking this pill after today when I finally realized what it really was""",1,Ethinyl estradiol / norethindrone,Birth Control,5,99
15,user74540,"""I got switched to it because with the birth control I was taking my periods were irregular. Both of the months that I was on this I had two full periods, one in week 3 and one in week 4. I had mood swings and I was emotional the whole time I was on it. And the worst part is that I&#039;ve weighed the same thing for the past 10 years, and after being on this for 2 months I gained 10 pounds and after 2 and a half months of not being on any birth control I still have it. Two months was way too long for me.""",1,Ethinyl estradiol / norethindrone,Birth Control,15,109
16,user15732,"""I took this pill for a week. ONE week. In that time I began seriously contimplating my own suicide as well as found myself in the hospital for what I believe to be a full detachment from reality. Since then, I have had multiple seuizures and lost numerous days of memory. I have no definitive proof that the birth control cause all of these issues, but I believe so strongly that they are connected that I feel I must warn anyone considering trying this pill. I will also be keeping an eye out for those lawsuit commercials one day so I can be the first in line to state my very heated opinion.""",1,Ethinyl estradiol / norethindrone,Birth Control,5,113
17,user15953,"""This was my first BC as well, after being on this pill for 3 months my periods were more painful. I also noticed my sex drive went down as well as my energy. It&#039;s pretty normal about a week before my period I would have breast pain. But my breasts would be painful for 3 weeks or more before my period. I finally went the IUD route and am loving it. I have noticed how much happier I am! I would highly recommend anyone to not use this medication.""",1,Ethinyl estradiol / norethindrone,Birth Control,5,89
