,user_id,data,label,drug_name,condition,useful_count,word_count
0,user39845,"""At first it was OK. It caused me to not enjoy any foods. All I could drink was water... Everything else made me have nausea.  After a week I tried to increase my dosage as instructed and I got sicker than I have ever been. The worst nausea and headache ever! So I went back to one pill a day but the nausea and headache stayed. Then I almost threw up from the nausea... I&#039;ve had it. I want no part of it. Yeah I lost -8 lbs buy only because I&#039;m so sick I can stand anything at all.""",1,Contrave,Obesity,11,100
1,user39653,"""I&#039;m 48 and 5ft 2 and suffer from low thyroid issues.    I have been on this med for a month and only taking in 1000 cal a day with exercise you would think I would loose some weight . Not the case at all. I used the scale it will weigh me at 166 on one day ,the next morning upon waking up it said 169 ??? Really ! This just isn&#039;t my plan .""",1,Contrave,Obesity,4,75
2,user39198,"""I just started conclave today. Hoping to see some results I&#039;m 40 years old female and weight 275. This is the biggest I have been my entire life. I gained a large amount of weight after having to start estrogen for my menopause and I suffer from prolapse bladder hoping this will help me and prevent me from having to have surgery. Seeing all the pros and cons makes helps me with understanding what I may go through. I will update every 2 weeks hopefully with good results!!""",1,Contrave,Obesity,9,88
3,user112209,"""Come to the end of my second week of the trial.  I am not to full dose yet but I don&#039;t see or feel any different.  My appetite is the same, sometimes I feel more hungry than before.  I am hoping when I get to the full dose it will click but right now hopes are low""",1,Contrave,Obesity,57,57
4,user39414,"""I was on this medication for two months and did not drop one pound. In fact when i decided to stop taking it due to the fact I was not happy with the product, within a week and a half i gained 10lbs and have now hit a record high As far as weightc""",1,Contrave,Obesity,19,54
5,user39859,"""OMG~  I took it and then ate.  I have had 22 hours of labor and delivery, natural childbirth.. So i know I was having horrible pains that lasted 8 sec 3 secs apart in my diaphragm and stomach.  I thought I was going to die.  In the heat of it if you had asked me if I would have wanted to die or live... I would have said take me on Lord.  It nearly killed me.""",1,Contrave,Obesity,7,76
6,user39664,"""I took my first pill today. Spent the next 9 hours literally asleep or standing over the sink. Within one hour of taking it the nausea started, at 2 hours the dizziness and tiredness. I felt worse than when I had the full blown flu. STAY AWAY!! There are better, less toxic options!""",1,Contrave,Obesity,12,53
7,user39996,"""I took one pill yesterday morning and my God, I was sick for the entire day! I read reviews on the medication and how nauseated people became, I ignored the reviews because I usually have an iron stomach. Money down the drain! I have tried phentermine, which worked, I also tried belviq 15 day trial, did nothing for me! I guess I will have to really work hard with exercise and diet, I am at my biggest 5&#039;0- 160 lbs. I don&#039;t know how I&#039;m going to do it, but I will find a way to lose some weight.""",1,Contrave,Obesity,20,99
8,user39965,"""I can not take this medicine.  About 45 minutes after taking it I started to feel bad.  Felt like I had the flu.  Head sort of hurt &amp; felt nauseous.  About 3 hrs after taking the first dose I started vomiting.   Have felt sick &amp; drained all day.  Will not be taking day 2 or anymore of this medicine.""",1,Contrave,Obesity,7,59
9,user39958,"""After starting 2 pills a day I felt dizzy all day and in a daze.  I was worried about driving on this drug. I would stay away from this expensive drug. I waited over two days for side effects to wear off after I quit.""",1,Contrave,Obesity,11,45
