statement,approval_level,budget,statement_cost,num_covered_agents,num_remaining_agents,covered_agent_ids,remaining_agent_ids,covered_agent_labels,remaining_agent_labels
"This pill is a nightmare. It wrecked my skin, my emotions, and my body. The side effects are unbearable—please, stay far away from it.",5.5,24,24,12,68,"['user15728', 'user72790', 'user14770', 'user14718', 'user15669', 'user72801', 'user15732', 'user14922', 'user72690', 'user15685', 'user72653', 'user16130']","['user15450', 'user74540', 'user72640', 'user15069', 'user16271', 'user74595', 'user15072', 'user14958', 'user16572', 'user74439', 'user15012', 'user73117', 'user74214', 'user73691', 'user74016', 'user16022', 'user73964', 'user73050', 'user73138', 'user15776', 'user73385', 'user16006', 'user74129', 'user15953', 'user16174', 'user15173', 'user15574', 'user73307', 'user16624', 'user15826', 'user16579', 'user14869', 'user16393', 'user16580', 'user15483', 'user72878', 'user15582', 'user73593', 'user16350', 'user14769', 'user16111', 'user72795', 'user16610', 'user73569', 'user16460', 'user73969', 'user15214', 'user16641', 'user73546', 'user15118', 'user72735', 'user73737', 'user15872', 'user15942', 'user74243', 'user74000', 'user73530', 'user14976', 'user73073', 'user73041', 'user16388', 'user15771', 'user16571', 'user73038', 'user14921', 'user72646', 'user73430', 'user72635']","['user15728 : 1', 'user72790 : 1', 'user14770 : 1', 'user14718 : 1', 'user15669 : 2', 'user72801 : 1', 'user15732 : 1', 'user14922 : 5', 'user72690 : 1', 'user15685 : 2', 'user72653 : 2', 'user16130 : 1']","[1, 1, 5, 5, 1, 5, 1, 9, 5, 5, 5, 10, 10, 10, 10, 1, 9, 10, 9, 5, 5, 2, 9, 1, 10, 10, 1, 10, 1, 2, 10, 5, 2, 5, 2, 9, 5, 5, 2, 10, 10, 10, 5, 9, 5, 10, 10, 5, 2, 1, 1, 10, 10, 5, 9, 9, 10, 5, 9, 10, 1, 10, 5, 5, 10, 9, 2, 1]"
"This pill is unpredictable and risky; while it helps some, the severe side effects make it not worth the gamble.",5.5,20,20,10,58,"['user16350', 'user16022', 'user15118', 'user15574', 'user74540', 'user16624', 'user16388', 'user74595', 'user72635', 'user15953']","['user15450', 'user72640', 'user15069', 'user16271', 'user15072', 'user14958', 'user16572', 'user74439', 'user15012', 'user73117', 'user74214', 'user73691', 'user74016', 'user73964', 'user73050', 'user73138', 'user15776', 'user73385', 'user16006', 'user74129', 'user16174', 'user15173', 'user73307', 'user15826', 'user16579', 'user14869', 'user16393', 'user16580', 'user15483', 'user72878', 'user15582', 'user73593', 'user14769', 'user16111', 'user72795', 'user16610', 'user73569', 'user16460', 'user73969', 'user15214', 'user16641', 'user73546', 'user72735', 'user73737', 'user15872', 'user15942', 'user74243', 'user74000', 'user73530', 'user14976', 'user73073', 'user73041', 'user15771', 'user16571', 'user73038', 'user14921', 'user72646', 'user73430']","['user16350 : 2', 'user16022 : 1', 'user15118 : 1', 'user15574 : 1', 'user74540 : 1', 'user16624 : 1', 'user16388 : 1', 'user74595 : 5', 'user72635 : 1', 'user15953 : 1']","[1, 5, 5, 1, 1, 9, 5, 5, 5, 10, 10, 10, 10, 9, 10, 9, 5, 5, 2, 9, 10, 10, 10, 2, 10, 5, 2, 5, 2, 9, 5, 5, 10, 10, 10, 5, 9, 5, 10, 10, 5, 2, 1, 10, 10, 5, 9, 9, 10, 5, 9, 10, 10, 5, 5, 10, 9, 2]"
"This birth control is life-changing—light periods, minimal side effects, and incredible reliability. Absolutely love it!",5.5,16,15,8,50,"['user15771', 'user14921', 'user74016', 'user15173', 'user73737', 'user73138', 'user73307', 'user73530']","['user15450', 'user72640', 'user15069', 'user16271', 'user15072', 'user14958', 'user16572', 'user74439', 'user15012', 'user73117', 'user74214', 'user73691', 'user73964', 'user73050', 'user15776', 'user73385', 'user16006', 'user74129', 'user16174', 'user15826', 'user16579', 'user14869', 'user16393', 'user16580', 'user15483', 'user72878', 'user15582', 'user73593', 'user14769', 'user16111', 'user72795', 'user16610', 'user73569', 'user16460', 'user73969', 'user15214', 'user16641', 'user73546', 'user72735', 'user15872', 'user15942', 'user74243', 'user74000', 'user14976', 'user73073', 'user73041', 'user16571', 'user73038', 'user72646', 'user73430']","['user15771 : 10', 'user14921 : 10', 'user74016 : 10', 'user15173 : 10', 'user73737 : 10', 'user73138 : 9', 'user73307 : 10', 'user73530 : 10']","[1, 5, 5, 1, 1, 9, 5, 5, 5, 10, 10, 10, 9, 10, 5, 5, 2, 9, 10, 2, 10, 5, 2, 5, 2, 9, 5, 5, 10, 10, 10, 5, 9, 5, 10, 10, 5, 2, 1, 10, 5, 9, 9, 5, 9, 10, 5, 5, 9, 2]"
This pill causes too many side effects to be worth it.,5.5,10,11,6,44,"['user16271', 'user72735', 'user15483', 'user16393', 'user15072', 'user16610']","['user15450', 'user72640', 'user15069', 'user14958', 'user16572', 'user74439', 'user15012', 'user73117', 'user74214', 'user73691', 'user73964', 'user73050', 'user15776', 'user73385', 'user16006', 'user74129', 'user16174', 'user15826', 'user16579', 'user14869', 'user16580', 'user72878', 'user15582', 'user73593', 'user14769', 'user16111', 'user72795', 'user73569', 'user16460', 'user73969', 'user15214', 'user16641', 'user73546', 'user15872', 'user15942', 'user74243', 'user74000', 'user14976', 'user73073', 'user73041', 'user16571', 'user73038', 'user72646', 'user73430']","['user16271 : 1', 'user72735 : 1', 'user15483 : 2', 'user16393 : 2', 'user15072 : 1', 'user16610 : 5']","[1, 5, 5, 9, 5, 5, 5, 10, 10, 10, 9, 10, 5, 5, 2, 9, 10, 2, 10, 5, 5, 9, 5, 5, 10, 10, 10, 9, 5, 10, 10, 5, 2, 10, 5, 9, 9, 5, 9, 10, 5, 5, 9, 2]"
Be patient; benefits outweigh initial side effects over time.,5,10,9,5,39,"['user16174', 'user72646', 'user14769', 'user15069', 'user73050']","['user15450', 'user72640', 'user14958', 'user16572', 'user74439', 'user15012', 'user73117', 'user74214', 'user73691', 'user73964', 'user15776', 'user73385', 'user16006', 'user74129', 'user15826', 'user16579', 'user14869', 'user16580', 'user72878', 'user15582', 'user73593', 'user16111', 'user72795', 'user73569', 'user16460', 'user73969', 'user15214', 'user16641', 'user73546', 'user15872', 'user15942', 'user74243', 'user74000', 'user14976', 'user73073', 'user73041', 'user16571', 'user73038', 'user73430']","['user16174 : 10', 'user72646 : 9', 'user14769 : 10', 'user15069 : 5', 'user73050 : 10']","[1, 5, 9, 5, 5, 5, 10, 10, 10, 9, 5, 5, 2, 9, 2, 10, 5, 5, 9, 5, 5, 10, 10, 9, 5, 10, 10, 5, 2, 10, 5, 9, 9, 5, 9, 10, 5, 5, 2]"
"This birth control is effective with minimal, manageable side effects.",5,10,10,5,34,"['user73969', 'user73691', 'user16111', 'user16579', 'user72878']","['user15450', 'user72640', 'user14958', 'user16572', 'user74439', 'user15012', 'user73117', 'user74214', 'user73964', 'user15776', 'user73385', 'user16006', 'user74129', 'user15826', 'user14869', 'user16580', 'user15582', 'user73593', 'user72795', 'user73569', 'user16460', 'user15214', 'user16641', 'user73546', 'user15872', 'user15942', 'user74243', 'user74000', 'user14976', 'user73073', 'user73041', 'user16571', 'user73038', 'user73430']","['user73969 : 10', 'user73691 : 10', 'user16111 : 10', 'user16579 : 10', 'user72878 : 9']","[1, 5, 9, 5, 5, 5, 10, 10, 9, 5, 5, 2, 9, 2, 5, 5, 5, 5, 10, 9, 5, 10, 5, 2, 10, 5, 9, 9, 5, 9, 10, 5, 5, 2]"
This birth control causes too many unbearable side effects to be worth it.,4.5,16,13,7,27,"['user15826', 'user16006', 'user73385', 'user74439', 'user15450', 'user15582', 'user16641']","['user72640', 'user14958', 'user16572', 'user15012', 'user73117', 'user74214', 'user73964', 'user15776', 'user74129', 'user14869', 'user16580', 'user73593', 'user72795', 'user73569', 'user16460', 'user15214', 'user73546', 'user15872', 'user15942', 'user74243', 'user74000', 'user14976', 'user73073', 'user73041', 'user16571', 'user73038', 'user73430']","['user15826 : 2', 'user16006 : 2', 'user73385 : 5', 'user74439 : 5', 'user15450 : 1', 'user15582 : 5', 'user16641 : 5']","[5, 9, 5, 5, 10, 10, 9, 5, 9, 5, 5, 5, 10, 9, 5, 10, 2, 10, 5, 9, 9, 5, 9, 10, 5, 5, 2]"
"This pill works great with minimal, manageable side effects!",4.5,10,9,5,22,"['user73964', 'user73073', 'user74000', 'user73041', 'user15872']","['user72640', 'user14958', 'user16572', 'user15012', 'user73117', 'user74214', 'user15776', 'user74129', 'user14869', 'user16580', 'user73593', 'user72795', 'user73569', 'user16460', 'user15214', 'user73546', 'user15942', 'user74243', 'user14976', 'user16571', 'user73038', 'user73430']","['user73964 : 9', 'user73073 : 9', 'user74000 : 9', 'user73041 : 10', 'user15872 : 10']","[5, 9, 5, 5, 10, 10, 5, 9, 5, 5, 5, 10, 9, 5, 10, 2, 5, 9, 5, 5, 5, 2]"
Birth control shouldn’t rob you of your sex drive and emotional stability.,4,12,12,6,16,"['user73038', 'user15012', 'user14976', 'user73546', 'user72640', 'user15776']","['user14958', 'user16572', 'user73117', 'user74214', 'user74129', 'user14869', 'user16580', 'user73593', 'user72795', 'user73569', 'user16460', 'user15214', 'user15942', 'user74243', 'user16571', 'user73430']","['user73038 : 5', 'user15012 : 5', 'user14976 : 5', 'user73546 : 2', 'user72640 : 5', 'user15776 : 5']","[9, 5, 10, 10, 9, 5, 5, 5, 10, 9, 5, 10, 5, 9, 5, 2]"
This pill works well with manageable side effects—definitely worth trying!,4,10,10,5,11,"['user15214', 'user74243', 'user72795', 'user74214', 'user73117']","['user14958', 'user16572', 'user74129', 'user14869', 'user16580', 'user73593', 'user73569', 'user16460', 'user15942', 'user16571', 'user73430']","['user15214 : 10', 'user74243 : 9', 'user72795 : 10', 'user74214 : 10', 'user73117 : 10']","[9, 5, 9, 5, 5, 5, 9, 5, 5, 5, 2]"
