statement,approval_level,budget,statement_cost,num_covered_agents,num_remaining_agents,covered_agent_ids,remaining_agent_ids,covered_agent_labels,remaining_agent_labels
"This pill is pure misery—nausea, dizziness, and constant sickness!",5.5,10,9,5,75,"['user39664', 'user39965', 'user39998', 'user39845', 'user39764']","['user39370', 'user40145', 'user39303', 'user112209', 'user39972', 'user39996', 'user112330', 'user39999', 'user39974', 'user40042', 'user39117', 'user38952', 'user39414', 'user39894', 'user39635', 'user38747', 'user40097', 'user40144', 'user40088', 'user40150', 'user39719', 'user39918', 'user38990', 'user39840', 'user40142', 'user39881', 'user39934', 'user97071', 'user40035', 'user39958', 'user39806', 'user39223', 'user39859', 'user39301', 'user39621', 'user39994', 'user40007', 'user39540', 'user39666', 'user39951', 'user112197', 'user39837', 'user40107', 'user39575', 'user39671', 'user40130', 'user39449', 'user39327', 'user39349', 'user40133', 'user39076', 'user40100', 'user39947', 'user39468', 'user39653', 'user97069', 'user39976', 'user40141', 'user40014', 'user39949', 'user112212', 'user39673', 'user39662', 'user40131', 'user39498', 'user40057', 'user39198', 'user39762', 'user39742', 'user39851', 'user112329', 'user39786', 'user39824', 'user39097', 'user39990']","['user39664 : 1', 'user39965 : 1', 'user39998 : 1', 'user39845 : 1', 'user39764 : 3']","[1, 2, 5, 1, 5, 1, 5, 1, 7, 6, 5, 5, 1, 5, 9, 8, 9, 9, 7, 8, 3, 8, 6, 5, 3, 7, 2, 10, 10, 1, 8, 2, 1, 4, 8, 5, 4, 6, 4, 7, 6, 6, 3, 10, 4, 10, 10, 6, 8, 5, 9, 9, 6, 4, 1, 3, 10, 3, 9, 7, 8, 2, 8, 9, 4, 7, 1, 10, 2, 9, 7, 7, 10, 7, 3]"
"This medication curbs cravings, boosts energy, and transforms eating habits!",5.5,10,10,5,70,"['user39762', 'user40130', 'user40014', 'user39976', 'user40035']","['user39370', 'user40145', 'user39303', 'user112209', 'user39972', 'user39996', 'user112330', 'user39999', 'user39974', 'user40042', 'user39117', 'user38952', 'user39414', 'user39894', 'user39635', 'user38747', 'user40097', 'user40144', 'user40088', 'user40150', 'user39719', 'user39918', 'user38990', 'user39840', 'user40142', 'user39881', 'user39934', 'user97071', 'user39958', 'user39806', 'user39223', 'user39859', 'user39301', 'user39621', 'user39994', 'user40007', 'user39540', 'user39666', 'user39951', 'user112197', 'user39837', 'user40107', 'user39575', 'user39671', 'user39449', 'user39327', 'user39349', 'user40133', 'user39076', 'user40100', 'user39947', 'user39468', 'user39653', 'user97069', 'user40141', 'user39949', 'user112212', 'user39673', 'user39662', 'user40131', 'user39498', 'user40057', 'user39198', 'user39742', 'user39851', 'user112329', 'user39786', 'user39824', 'user39097', 'user39990']","['user39762 : 10', 'user40130 : 10', 'user40014 : 9', 'user39976 : 10', 'user40035 : 10']","[1, 2, 5, 1, 5, 1, 5, 1, 7, 6, 5, 5, 1, 5, 9, 8, 9, 9, 7, 8, 3, 8, 6, 5, 3, 7, 2, 10, 1, 8, 2, 1, 4, 8, 5, 4, 6, 4, 7, 6, 6, 3, 10, 4, 10, 6, 8, 5, 9, 9, 6, 4, 1, 3, 3, 7, 8, 2, 8, 9, 4, 7, 1, 2, 9, 7, 7, 10, 7, 3]"
Weight loss isn't worth these awful side effects and struggles.,5,10,10,5,65,"['user39958', 'user39671', 'user39999', 'user40142', 'user39666']","['user39370', 'user40145', 'user39303', 'user112209', 'user39972', 'user39996', 'user112330', 'user39974', 'user40042', 'user39117', 'user38952', 'user39414', 'user39894', 'user39635', 'user38747', 'user40097', 'user40144', 'user40088', 'user40150', 'user39719', 'user39918', 'user38990', 'user39840', 'user39881', 'user39934', 'user97071', 'user39806', 'user39223', 'user39859', 'user39301', 'user39621', 'user39994', 'user40007', 'user39540', 'user39951', 'user112197', 'user39837', 'user40107', 'user39575', 'user39449', 'user39327', 'user39349', 'user40133', 'user39076', 'user40100', 'user39947', 'user39468', 'user39653', 'user97069', 'user40141', 'user39949', 'user112212', 'user39673', 'user39662', 'user40131', 'user39498', 'user40057', 'user39198', 'user39742', 'user39851', 'user112329', 'user39786', 'user39824', 'user39097', 'user39990']","['user39958 : 1', 'user39671 : 4', 'user39999 : 1', 'user40142 : 3', 'user39666 : 4']","[1, 2, 5, 1, 5, 1, 5, 7, 6, 5, 5, 1, 5, 9, 8, 9, 9, 7, 8, 3, 8, 6, 5, 7, 2, 10, 8, 2, 1, 4, 8, 5, 4, 6, 7, 6, 6, 3, 10, 10, 6, 8, 5, 9, 9, 6, 4, 1, 3, 3, 7, 8, 2, 8, 9, 4, 7, 1, 2, 9, 7, 7, 10, 7, 3]"
"This medication is a game-changer! It curbs cravings, boosts control over eating, and delivers real weight loss results despite minor side effects. Totally worth it for serious lifestyle changes!",4.5,28,29,15,50,"['user39974', 'user39806', 'user39824', 'user112212', 'user40144', 'user39635', 'user39076', 'user39303', 'user112329', 'user39947', 'user39449', 'user39851', 'user97071', 'user40131', 'user39881']","['user39370', 'user40145', 'user112209', 'user39972', 'user39996', 'user112330', 'user40042', 'user39117', 'user38952', 'user39414', 'user39894', 'user38747', 'user40097', 'user40088', 'user40150', 'user39719', 'user39918', 'user38990', 'user39840', 'user39934', 'user39223', 'user39859', 'user39301', 'user39621', 'user39994', 'user40007', 'user39540', 'user39951', 'user112197', 'user39837', 'user40107', 'user39575', 'user39327', 'user39349', 'user40133', 'user40100', 'user39468', 'user39653', 'user97069', 'user40141', 'user39949', 'user39673', 'user39662', 'user39498', 'user40057', 'user39198', 'user39742', 'user39786', 'user39097', 'user39990']","['user39974 : 7', 'user39806 : 8', 'user39824 : 10', 'user112212 : 8', 'user40144 : 9', 'user39635 : 9', 'user39076 : 9', 'user39303 : 5', 'user112329 : 7', 'user39947 : 6', 'user39449 : 10', 'user39851 : 9', 'user97071 : 10', 'user40131 : 9', 'user39881 : 7']","[1, 2, 1, 5, 1, 5, 6, 5, 5, 1, 5, 8, 9, 7, 8, 3, 8, 6, 5, 2, 2, 1, 4, 8, 5, 4, 6, 7, 6, 6, 3, 10, 6, 8, 5, 9, 4, 1, 3, 3, 7, 2, 8, 4, 7, 1, 2, 7, 7, 3]"
"This pill powerfully curbs hunger, but side effects can hit hard.",4.5,12,11,6,44,"['user40097', 'user39837', 'user39786', 'user39349', 'user39949', 'user39951']","['user39370', 'user40145', 'user112209', 'user39972', 'user39996', 'user112330', 'user40042', 'user39117', 'user38952', 'user39414', 'user39894', 'user38747', 'user40088', 'user40150', 'user39719', 'user39918', 'user38990', 'user39840', 'user39934', 'user39223', 'user39859', 'user39301', 'user39621', 'user39994', 'user40007', 'user39540', 'user112197', 'user40107', 'user39575', 'user39327', 'user40133', 'user40100', 'user39468', 'user39653', 'user97069', 'user40141', 'user39673', 'user39662', 'user39498', 'user40057', 'user39198', 'user39742', 'user39097', 'user39990']","['user40097 : 9', 'user39837 : 6', 'user39786 : 7', 'user39349 : 8', 'user39949 : 7', 'user39951 : 7']","[1, 2, 1, 5, 1, 5, 6, 5, 5, 1, 5, 8, 7, 8, 3, 8, 6, 5, 2, 2, 1, 4, 8, 5, 4, 6, 6, 3, 10, 6, 5, 9, 4, 1, 3, 3, 2, 8, 4, 7, 1, 2, 7, 3]"
This drug's side effects are unbearable and not worth it.,4.5,10,10,5,39,"['user39859', 'user39996', 'user40100', 'user39117', 'user40057']","['user39370', 'user40145', 'user112209', 'user39972', 'user112330', 'user40042', 'user38952', 'user39414', 'user39894', 'user38747', 'user40088', 'user40150', 'user39719', 'user39918', 'user38990', 'user39840', 'user39934', 'user39223', 'user39301', 'user39621', 'user39994', 'user40007', 'user39540', 'user112197', 'user40107', 'user39575', 'user39327', 'user40133', 'user39468', 'user39653', 'user97069', 'user40141', 'user39673', 'user39662', 'user39498', 'user39198', 'user39742', 'user39097', 'user39990']","['user39859 : 1', 'user39996 : 1', 'user40100 : 9', 'user39117 : 5', 'user40057 : 7']","[1, 2, 1, 5, 5, 6, 5, 1, 5, 8, 7, 8, 3, 8, 6, 5, 2, 2, 4, 8, 5, 4, 6, 6, 3, 10, 6, 5, 4, 1, 3, 3, 2, 8, 4, 1, 2, 7, 3]"
"This pill kills cravings, but effort and lifestyle changes matter!",4,10,10,5,34,"['user38990', 'user39540', 'user39468', 'user40150', 'user39719']","['user39370', 'user40145', 'user112209', 'user39972', 'user112330', 'user40042', 'user38952', 'user39414', 'user39894', 'user38747', 'user40088', 'user39918', 'user39840', 'user39934', 'user39223', 'user39301', 'user39621', 'user39994', 'user40007', 'user112197', 'user40107', 'user39575', 'user39327', 'user40133', 'user39653', 'user97069', 'user40141', 'user39673', 'user39662', 'user39498', 'user39198', 'user39742', 'user39097', 'user39990']","['user38990 : 6', 'user39540 : 6', 'user39468 : 4', 'user40150 : 8', 'user39719 : 3']","[1, 2, 1, 5, 5, 6, 5, 1, 5, 8, 7, 8, 5, 2, 2, 4, 8, 5, 4, 6, 3, 10, 6, 5, 1, 3, 3, 2, 8, 4, 1, 2, 7, 3]"
"This pill works for weight loss, but the nausea and side effects make it hard to continue.",3.5,20,17,9,25,"['user38747', 'user40007', 'user40042', 'user39918', 'user39662', 'user39498', 'user112197', 'user39621', 'user40145']","['user39370', 'user112209', 'user39972', 'user112330', 'user38952', 'user39414', 'user39894', 'user40088', 'user39840', 'user39934', 'user39223', 'user39301', 'user39994', 'user40107', 'user39575', 'user39327', 'user40133', 'user39653', 'user97069', 'user40141', 'user39673', 'user39198', 'user39742', 'user39097', 'user39990']","['user38747 : 8', 'user40007 : 4', 'user40042 : 6', 'user39918 : 8', 'user39662 : 8', 'user39498 : 4', 'user112197 : 6', 'user39621 : 8', 'user40145 : 2']","[1, 1, 5, 5, 5, 1, 5, 7, 5, 2, 2, 4, 5, 3, 10, 6, 5, 1, 3, 3, 2, 1, 2, 7, 3]"
This medication curbs cravings but demands effort and lifestyle changes.,3.5,10,10,5,20,"['user39097', 'user39575', 'user39301', 'user39934', 'user112330']","['user39370', 'user112209', 'user39972', 'user38952', 'user39414', 'user39894', 'user40088', 'user39840', 'user39223', 'user39994', 'user40107', 'user39327', 'user40133', 'user39653', 'user97069', 'user40141', 'user39673', 'user39198', 'user39742', 'user39990']","['user39097 : 7', 'user39575 : 10', 'user39301 : 4', 'user39934 : 2', 'user112330 : 5']","[1, 1, 5, 5, 1, 5, 7, 5, 2, 5, 3, 6, 5, 1, 3, 3, 2, 1, 2, 3]"
"This journey is tough, but hope and persistence will bring results.",3,12,11,6,14,"['user39198', 'user40088', 'user39972', 'user39742', 'user39994', 'user39327']","['user39370', 'user112209', 'user38952', 'user39414', 'user39894', 'user39840', 'user39223', 'user40107', 'user40133', 'user39653', 'user97069', 'user40141', 'user39673', 'user39990']","['user39198 : 1', 'user40088 : 7', 'user39972 : 5', 'user39742 : 2', 'user39994 : 5', 'user39327 : 6']","[1, 1, 5, 1, 5, 5, 2, 3, 5, 1, 3, 3, 2, 3]"
