agent_id,cluster_baseline_utility,slate_utility,zero_shot_utility,contextless_zero_shot_utility,unit_cost
user15072,2.3208212878953,3.03699200575335,2.56217650107272,1.62245933120954,2.00004006163616
user15118,3.00458608331674,3.67918054799846,0.999999999999055,1.00000000000002,1.99951215103337
user15728,2.97068816075835,4.99999989759093,3.95257421419272,1.99956946244455,4.22269612646692
user14718,4.22269499244649,4.06004673188423,3.32082132226854,1.9525741369059,3.96267536688401
user72801,4.62244630438258,4.62245705975292,2.99142256715343,1.99979659016986,4.43781630134731
user16624,3.26893903016106,4.6224575819842,2.00003535598869,2.26894144005466,2.99831228441198
user16022,4.09509064921968,3.99243169708379,2.99931462988909,1.99999071951302,2.99781865549481
user16271,4.98409373170394,4.37753786079187,2.00029592058366,1.99781733086111,3.88090443117896
user73430,1.99948728494861,3.00077122933393,1.99999788417485,1.00000614417087,3.00584501845341
user15685,3.0000061440609,3.90465405372397,2.99867501417457,1.9999156340919,3.00132487802002
user16350,2.97068777259121,3.99484592415742,2.9399133583541,2.00000006485777,2.99592987953638
user16006,2.09534945495031,3.37753787417222,1.62245933125199,2.00091105158297,2.99868286668021
user15669,3.95264003562785,5.00000030549649,3.99927076020483,3.00025102915788,3.99982047192553
user15483,2.00055277050299,3.85227562854915,2.22270012690909,1.99970415567729,2.97068778976375
user15826,2.00048785700237,3.18205891933768,0.999999999999953,2.11920293252962,2.99595416242524
user16393,3.73105840720354,3.00022154846355,2.01406362705815,2.26894144471405,4.97404275494412
user72695,3.09534792482741,3,1.8807970874273,3,2.99946614651705
user15440,2.00013559925167,3.5621728953822,2.22270015129802,1.92414186582033,2.0600866578621
user16002,2.99989300599619,3.00026929798493,1.99640639716363,2.99782876177484,3.90465135613688
user72829,2.56217650134789,2.67917880896374,1.99970404848432,1.99781772952601,2.00857743909603
user73836,2.88079723513145,3.97967378605977,1.96267311229653,2.00317185152488,2.99937417018022
user73238,3.00192672581439,3.00000371944429,1.98201378896048,2.00027451205404,2.26894143711887
user73673,3.00128495874886,3.62245936554708,1.50000001883248,1.99962257667436,2.99883377840857
user16075,3.99999709768976,3.09533290370068,3.93246114628909,2.00001074680774,3.22270001739521
user74345,2.77729988786982,3.00453472639516,2.00070966770191,1.93991335836092,4.93245293242086
user16107,3.99923127008861,2.99815233175577,2.00001875889658,1.99973881344395,2.9983040627319
user74472,3.00073803369322,3.00160462046482,3.11920139927713,3.00169965487124,2.00000020250978
user16273,3.99721577248397,4.00054317656691,3.99958704342897,2.99947475728025,4.99929033255977
user74099,2.50000000587821,2.99963457528353,1.00000000000001,1.00055277865501,1.99908911264985
user16205,2.93991399790671,3.98419588566014,2.00000511786555,1.99753066531141,3.00407012249985
user15253,3.99597525912417,2.99330765441362,2.00004539348214,1.99807328330097,3.00103158354965
user15986,2.99593020988781,3.94039928355299,2.99142272644687,2.00037669579607,3.0001183725908
user14976,2.18242551336947,3.98201499858389,1.93991334994023,2.00103222959182,3.99829927775621
user16572,1.99920739287048,1.99957009039937,2.00000125842157,1.22270013556948,2.00192673394839
user14869,2.00669284420249,2.37754067041628,1.85195280654083,1.88079708359018,4.00458527318904
user73385,3.00009068468719,3.99982224806448,2.00008481093465,2.92414182272909,3.14804716627684
user15069,4.0059009407427,4.00115058534157,3.99922344971851,2.90465056100383,3.92414302044866
user74439,2.90465056096094,3.81759847978955,2.62245932891695,1.99973880963096,2.88079706827163
user74595,1.99995011127802,3.98593836165432,1,1.99997246507787,3.00459483327018
user72640,1.9999600365538,3.37754072770033,1.90465053603336,3.00517472936713,3.04742361543037
user15911,3.99696713460735,3.00062633412041,3.99919920292928,2.00006605073573,2.0001223268139
user15395,2.03308595835643,3.00080408574391,2.00033992093118,2.99808996708709,3.00008002593404
user73219,2.99951241287631,3.01589338845664,2.0001398219369,2.81757448838128,2.93991334931674
user14949,2.06008663557122,3.00731606591192,1.99990391712554,2.0031716148495,2.99330715093919
user72912,1.00003120192093,1.85195279879927,2.99998710660582,2.00000054828265,2.85195279824162
user73920,2.62245933129683,2.00037384051404,2.99957001430501,2.99330715675462,2.62245933135011
user15786,2.00002616473498,2.00029173433552,1.99999965337949,2.00000155208056,2.99998027686167
user74061,2.04208771134429,2.99330720804559,2.00218271519105,1.97404264204102,3.62245933194442
user16296,3.99944948179741,4.11920285582886,4.1480470933569,3.32082109349824,4.9993736696572
user73535,2.14804719967786,3.56217775659602,2.99867524728144,2.81757447271861,1.99829932467228
user73592,3.98201402982494,4.00007940097858,3.00003405067843,2.97068780094965,2.00001669647344
user15559,2.22270013128208,4.98901305815708,3.50000001795168,3.00020289907993,2.00591088213777
user73352,3.0046086308618,3.03731901212686,2.99849883318305,2.73105856315744,2.00055277853122
user15317,2.00020205601501,3.00224815137929,1.99998620326525,1.99408916986357,2.99958614432019
user74130,3.00034462837527,2.00043028708386,3.01242623048557,2.77729989514111,2.00020308032474
user16552,1.99999721560608,3.00007180220867,2.97068777636818,2.014063616962,2.90465053065347
user73001,3.99938155485348,3.00022572148424,3.03712374492273,3.00317174082522,1.00000000000051
user15875,3.85195334645271,3.32082144625533,2.50000000185129,2.00023050168442,2.43782349922291
user73559,3.07585818471352,2.99995054519152,3.99885802556288,2.98201384917674,1.00000000016919
user73522,4.00047311822647,4.97068777337549,2.00103221358414,2.81757448689318,3.99897670881473
user74286,2.07585817932212,1.94659672985974,2.97702488946727,2.03308581573515,2.04742587633507
user14765,3.14804720116618,3.89331402907833,2.99899530480856,3.99999999875358,3.32082128448769
user14707,2.99142259032605,3.99720236117065,3.14804702828544,3.14804252217878,1.9890132949908
user15316,2.99808474452905,2.00247211917196,3.99951214268869,2.97702635503178,2.00005828788867
user73964,3.99999999564735,4.1824254831031,4.00013439989133,4.2689414030647,2.99857366364361
user73073,4.99999672048992,3.01798466040818,1.99974893980472,3.62245928456183,3.01406289248452
user14958,2.7310585787528,3.01582160473352,2.99142251431558,3.00061332712119,2.88079706780275
user74129,3.96267329533337,3.02295308341902,3.90465086952506,2.32082130548001,1.99999317844018
user72878,3.99999999569501,4.97404262688591,4.22269610922638,3.62245920316222,4.11920291753091
user72646,4.8175744502566,3.00356930232015,5.00000004510236,2.98901426707737,4.99998852422352
user74243,3.99933573591212,3.00116336612317,3.97702263296579,4.0035903134943,4.01590463568288
user74000,3.50000009481158,3.00359104155372,3.62245391018938,3.99914729651728,4.99956951121444
user73307,4.00008459666578,4.00018198202922,3.56217533985218,3.93991338183545,4.99991519603691
user16579,4.99999980155481,1.0000000000313,3.00237652401223,5.00000154964661,2.00013981999953
user74214,3.37752951610472,3.9241421642428,3.62245906337158,2.22270015181108,1.00280092716794
user73050,3.98201384336209,4.09534528040847,3.22269915010873,3.11920157795667,4.85195279467693
user15771,3.18241118494633,3.97069194771338,4.03732594487009,4.99682731727472,2.73105856856273
user74016,4.26894138559462,3.26892186116308,3.99999998044598,3.00667140623711,2.98201555157237
user15872,4.00011642909774,4.03732606148803,2.90465053714075,4.99929033032067,3.9968334615508
user15214,2.99719964322138,3.99712327263371,3.99850002748971,4.14804699750923,3.00000542220204
