agent_id,cluster_baseline_utility,slate_utility,zero_shot_utility,contextless_zero_shot_utility,unit_cost
user39845,4.99989134433283,3.98616682947722,5.0000001254583,3.92414658454637,3.98420247934151
user39653,1.18242555240399,3.00130832051954,2.11920291260833,3.01242151825803,3.00166952073223
user39198,2.0373268821631,3.73105830359505,1.99995463868921,2.98201409591192,3.9890133265854
user112209,1.98409363702339,3.98435436950715,2.01098694061951,2.92414181595009,2.00003533671197
user39414,3.49999759916594,4.00369015903278,3.06002858033284,2.56217650068505,3.77730380666738
user39859,2.00043053504594,3.49789665318595,3.00068153665907,1.92414182337555,2.99997000273383
user39664,4.96691142052175,3.56214177751312,4.14804524191162,4.00068054452517,4.22217475062353
user39996,3.99783620826298,3.88079957711245,3.18241793807252,3.49999596072749,3.99683273983123
user39965,3.02850881955873,3.50000279489542,4.99999460289341,3.04731721977296,3.09534539547338
user39958,4.99976949894616,3.73105444655352,3.49998747488521,2.9996793887719,4.2226995872949
user39998,2.00015842287441,2.11920293260076,2.99539044887157,2.99980809998237,2.99943195701546
user39370,2.73105879069131,3.00190243469555,2.32082128722161,3.00405343666896,3.00851143904263
user39999,3.85195286335999,3.97405156994671,2.92414182212948,2.67917869994568,3.62247555886854
user39742,2.11920291259187,2.99807699133972,2.50000000002831,3.00000000000513,3.14804722045631
user39223,1.98593642596541,2.67917875523583,2.00359358760658,2.99983554548402,2.00460957187344
user40145,4.00455128174959,2.9770227938534,2.99996608090163,2.6224593318125,2.99477987938415
user39673,3.77729977426635,3.96691445797167,2.77729989514111,3.1480469974943,3.18242555829722
user39934,3.26893837660195,2.02033234095691,2.00000057149184,2.00669285133191,3.97068952351754
user97069,2.001032162709,1.5621765008858,1.0000000104674,1.95257414716829,2.00000693380285
user39990,2.00103222647851,2.11920289569248,2.1824255132108,2.00022261756294,2.43782349819575
user39764,3.00183063239631,2.1480472021248,3.00664745945743,3.99784848509311,4.00965018956119
user39719,3.04741117089144,3.99999998045088,2.14804720054927,2.182425528449,4.00085275983201
user40107,1.37754066887886,3.07585033589091,2.9706878815722,2.14804720058322,1.99997860846618
user40142,4.32080634058778,4.00256896262905,3.18242553047564,3.03731993469326,4.0000944155152
user40141,3.26894139852763,3.67917824709561,2.56217650013833,2.99908909341019,3.14804649542916
user39666,4.02274698455818,3.07582716339571,1.04742586802743,2.73105893317172,2.99970471370541
user39301,3.99332384929705,3.99955220663972,3.98901340396075,3.00148970319921,3.26894119484207
user40007,3.02930745350979,2.00359360282411,2.62245933159621,3.00042266775353,2.98593638467686
user39671,3.73107179119587,4.67917578284895,2.00003532402579,3.04742586943776,3.43782297388372
user39468,2.99883942923979,3.00922066567605,2.77729984962112,2.73105856741836,1.99976949380316
user39498,2.0000089074546,2.18242551344181,1.99999523216407,2.88079706784856,1.3775406699842
user39117,2.99984293475134,1.00000000000008,1,2.991422546239,1.00091105161629
user39994,1.93991336942402,3.6791787818571,2.00000012036309,3.99929032961175,3.0085773425325
user39840,2.67917869287362,2.92414181328265,1.99944722172627,3.99782342786683,1.99682732565798
user39972,3.99999960721464,3.93991338839468,2.73105856875344,2.88079708932314,3.99977645541997
